Date,FTSE All-World
09/2003,10000
10/2003,10444.627835320276
11/2003,10432.708473980701
12/2003,10636.904897958235
01/2004,10731.265675786251
02/2004,10679.552243493277
03/2004,10728.262275342579
04/2004,10839.664171806255
05/2004,10556.49380565262
06/2004,10891.855246561026
07/2004,10524.134078047662
08/2004,10741.154265122383
09/2004,10885.65972148506
10/2004,11004.859758729797
11/2004,11138.904300643611
12/2004,11428.41838668733
01/2005,11464.152380358166
02/2005,11640.842511111512
03/2005,11620.864350304491
04/2005,11191.770094906069
05/2005,11997.124012668284
06/2005,12321.734376289578
07/2005,13074.806367512316
08/2005,12934.781609390018
09/2005,13467.34972176899
10/2005,13036.855771636903
11/2005,13910.112896114073
12/2005,14285.707418700276
01/2006,14578.888962431636
02/2006,14765.46527222926
03/2006,15168.063650150174
04/2006,15078.485733992777
05/2006,13954.13457194438
06/2006,14262.159695301367
07/2006,14156.037077485054
08/2006,14218.608660104683
09/2006,14691.008022439084
10/2006,14989.49868198662
11/2006,14958.415188495143
12/2006,15276.725287439021
01/2007,15487.443186969973
02/2007,15337.95083898942
03/2007,15664.892660107575
04/2007,16098.018709489661
05/2007,16720.727691786582
06/2007,16469.067508930715
07/2007,15987.519033579036
08/2007,16041.685501143262
09/2007,16790.702236535606
10/2007,17157.14720559456
11/2007,16486.240894697294
12/2007,16768.295227468352
01/2008,15545.150986865057
02/2008,15633.96661064298
03/2008,15369.668118704378
04/2008,16393.894891865322
05/2008,16589.44433454613
06/2008,15060.18006196945
07/2008,14788.80954168719
08/2008,15635.418015647727
09/2008,13870.026257268733
10/2008,12398.97756612413
11/2008,12254.515428806879
12/2008,13344.641964367613
01/2009,12469.333316054956
02/2009,11351.735736550789
03/2009,12191.90142940461
04/2009,13143.05641195397
05/2009,13314.942763876948
06/2009,12896.033425872773
07/2009,14095.024971837815
08/2009,14914.840462533824
09/2009,15686.429081046643
10/2009,15016.636977353392
11/2009,15704.537486016057
12/2009,16279.908134311323
01/2010,15681.217052158896
02/2010,16820.649343098394
03/2010,17979.164970129867
04/2010,17830.415748382387
05/2010,17008.45712047876
06/2010,15949.990974192448
07/2010,16593.625294685044
08/2010,16251.73059211732
09/2010,17266.998137724815
10/2010,17786.253695965435
11/2010,17850.05637155379
12/2010,19165.58265161232
01/2011,18990.974024938547
02/2011,19143.985051175132
03/2011,19315.00493513339
04/2011,19395.88498766917
05/2011,19164.19364236903
06/2011,19439.20249908345
07/2011,18776.797616471868
08/2011,17380.748307751655
09/2011,16466.476535539266
10/2011,17717.190590533664
11/2011,17557.79053334933
12/2011,17723.25576591856
01/2012,18442.645640362
02/2012,19187.384167437904
03/2012,19193.3873734072
04/2012,18692.606313923716
05/2012,17835.374722161894
06/2012,18599.40272515794
07/2012,18780.974327515156
08/2012,18957.83369225125
09/2012,19149.128083646698
10/2012,19143.934114257383
11/2012,19504.261501662662
12/2012,19781.16676361932
01/2013,21156.933557763303
02/2013,21973.537190646814
03/2013,22461.072567184343
04/2013,22604.96444476645
05/2013,22913.028110072843
06/2013,22212.637354708735
07/2013,23363.56349972293
08/2013,22433.085586303867
09/2013,22642.88380898157
10/2013,23710.722257839847
11/2013,23601.57226814163
12/2013,23719.38647152706
01/2014,22890.848599214463
02/2014,23596.47817815612
03/2014,23821.046060311783
04/2014,23784.37364338315
05/2014,24435.186642106924
06/2014,24457.763188159286
07/2014,24400.25039760588
08/2014,25378.93684579994
09/2014,25161.40918434435
10/2014,25679.647370893003
11/2014,26563.252514051415
12/2014,26235.887979485375
01/2015,26766.018406945874
02/2015,27525.654258595354
03/2015,28297.718630882864
04/2015,27917.233853084887
05/2015,28218.62634762474
06/2015,26730.49212876597
07/2015,27217.7907154705
08/2015,25632.26041686585
09/2015,25102.356322114512
10/2015,26763.886787306335
11/2015,27128.638964820504
12/2015,26971.980212428374
01/2016,26299.654023677966
02/2016,26931.66773535014
03/2016,27887.886839253206
04/2016,27851.60582680147
05/2016,27838.500427887255
06/2016,30153.37411782307
