Date,MSCI ACWI
12/1987,10000
01/1988,10412.14672663668
02/1988,11284.430349220793
03/1988,11160.568772504088
04/1988,11033.364029389839
05/1988,10868.325092270661
06/1988,11426.294642053128
07/1988,12129.971028092194
08/1988,11524.40445623342
09/1988,12111.564655581946
10/1988,12500.060455486542
11/1988,12423.705302737073
12/1988,12419.473151495233
01/1989,13247.329401815412
02/1989,13321.536580358157
03/1989,13557.498307458853
04/1989,14001.69623706491
05/1989,14259.18959955847
06/1989,14764.763219575014
07/1989,15687.90686009343
08/1989,15627.5415313225
09/1989,16338.404937957363
10/1989,15654.477308806852
11/1989,16423.61480351011
12/1989,16709.493015972435
01/1990,15414.108139534883
02/1990,14376.151406167088
03/1990,14083.27977839335
04/1990,13798.660151478132
05/1990,14875.163085727912
06/1990,14491.0720224522
07/1990,13833.419913802629
08/1990,11929.858854467993
09/1990,10807.863530914123
10/1990,11400.861019736842
11/1990,11103.61478464515
12/1990,11592.835423279046
01/1991,11942.689796340326
02/1991,12869.571284557811
03/1991,13490.58789941803
04/1991,14161.728844944846
05/1991,14718.349599721543
06/1991,14441.722204037096
07/1991,15115.038091200871
08/1991,14790.790570631198
09/1991,14795.007888792352
10/1991,15082.213684638149
11/1991,13974.96695886716
12/1991,14621.692381786339
01/1992,14548.007960199
02/1992,14579.685723928447
03/1992,14367.081656804728
04/1992,14287.877399521802
05/1992,14401.787366675873
06/1992,13546.882087219015
07/1992,13146.532450331122
08/1992,13263.55220747144
09/1992,13840.643639317625
10/1992,15083.589231048458
11/1992,16601.139219282155
12/1992,16496.69570599613
01/1993,16754.9106949429
02/1993,18256.874192427927
03/1993,19012.788834918243
04/1993,18808.332491745965
05/1993,19212.857375460364
06/1993,19588.11892321973
07/1993,20164.125015045134
08/1993,21178.347646506634
09/1993,20367.108604407134
10/1993,21284.344485122805
11/1993,20470.876823338735
12/1993,21426.13397706698
01/1994,22831.75243583729
02/1994,22701.006165494862
03/1994,21496.45976271868
04/1994,22224.05925925926
05/1994,22029.61148783406
06/1994,21606.609356571873
07/1994,21792.12599728454
08/1994,22634.21636623006
09/1994,21765.417482919354
10/1994,21763.220916334656
11/1994,21043.398137427634
12/1994,21530.02230063514
01/1995,20878.935501079635
02/1995,21136.832977099228
03/1995,21715.428571428565
04/1995,22405.843638399798
05/1995,22937.188862290535
06/1995,22835.804063205414
07/1995,23934.672216649946
08/1995,23834.97870819505
09/1995,24613.254958306603
10/1995,23911.97434564928
11/1995,24907.2611328
12/1995,26023.687478091528
01/1996,26805.772370486655
02/1996,26791.205625
03/1996,27362.18201820444
04/1996,28235.538047493403
05/1996,28279.654593453004
06/1996,27947.803217436423
07/1996,26706.485717965224
08/1996,27089.933337634684
09/1996,27920.954479574164
10/1996,27555.472533568678
11/1996,27701.4297780184
12/1996,27273.94877095979
01/1997,27821.798492613805
02/1997,28771.874999999996
03/1997,28476.606560636174
04/1997,29035.861977536366
05/1997,30713.688714618303
06/1997,32036.07543315703
07/1997,32993.22151671258
08/1997,31939.16228250702
09/1997,33688.72760881783
10/1997,31067.761910594
11/1997,30499.021801172355
12/1997,31443.084991263477
01/1998,32620.758605504576
02/1998,34729.143832276925
03/1998,35751.22979722005
04/1998,35861.889852299224
05/1998,35913.7828348187
06/1998,36290.554726127
07/1998,36450.386128855636
08/1998,31525.81725614979
09/1998,31233.63851869463
10/1998,33842.72974504249
11/1998,36616.95560772981
12/1998,38095.037969834804
01/1999,39009.18234741276
02/1999,39081.62786135538
03/1999,40608.92305769517
04/1999,42350.100421856
05/1999,41108.36079445761
06/1999,43951.03352531934
07/1999,42498.79312798147
08/1999,42848.96190851367
09/1999,41319.40379098454
10/1999,43731.591881926215
11/1999,46183.68952635456
12/1999,49426.53497923057
01/2000,46666.20152350284
02/2000,47874.86221228733
03/2000,50621.72158354489
04/2000,49219.26156002623
05/2000,50301.22516942666
06/2000,51426.37470904444
07/2000,50430.97506429225
08/2000,53555.864202193996
09/2000,50044.748981261684
10/2000,49741.32712194907
11/2000,47708.67754667996
12/2000,46103.17880442796
01/2001,48285.392140334305
02/2001,44577.48313489269
03/2001,42205.89766896767
04/2001,45077.46270350116
05/2001,44984.53825544767
06/2001,44029.767588404335
07/2001,42754.133618710584
08/2001,39895.74098484084
09/2001,35982.650275086795
10/2001,37067.20739272378
11/2001,40144.492262557505
12/2001,39908.132469044554
01/2002,39774.812696584355
02/2002,39421.9727497168
03/2002,40981.12281496661
04/2002,38795.69696231672
05/2002,38589.324793307016
06/2002,34593.55865999933
07/2002,31135.827543681116
08/2002,31508.986319252544
09/2002,27725.128148376058
10/2002,29901.206691124364
11/2002,31678.479124158697
12/2002,29048.42295883246
01/2003,27561.40749715288
02/2003,28344.458589191967
03/2003,28165.0021626225
04/2003,30351.96641907053
05/2003,31221.476309588645
06/2003,31713.30520581032
07/2003,33140.028761366186
08/2003,34675.09277488576
09/2003,33008.769686380714
10/2003,34483.56508368244
11/2003,34459.83401536753
12/2003,35183.98214916218
01/2004,35451.76477099539
02/2004,35239.22916499339
03/2004,35389.96415582249
04/2004,35793.73036148652
05/2004,34883.26821905551
06/2004,36036.51524343327
07/2004,34798.882014856004
08/2004,35497.134989264436
09/2004,35966.35971234459
10/2004,36367.52784865444
11/2004,36805.18443918872
12/2004,37777.33589973004
01/2005,37887.555139948185
02/2005,38480.137239631666
03/2005,38428.77691939747
04/2005,37025.967963767274
05/2005,39637.83111687285
06/2005,40672.813828392544
07/2005,43128.92794270757
08/2005,42702.08414120595
09/2005,44506.80154721451
10/2005,43047.605088755845
11/2005,45971.25922465037
12/2005,47218.45911528448
01/2006,48170.3165604546
02/2006,48766.530004046675
03/2006,50078.983014429796
04/2006,49825.25398245066
05/2006,46112.84102619598
06/2006,47095.78396091294
07/2006,46695.982535499425
08/2006,46907.125478584065
09/2006,48440.024933667715
10/2006,49443.36990486058
11/2006,49344.19890678207
12/2006,50366.4794011699
01/2007,51091.305730294014
02/2007,50634.920375658454
03/2007,51724.57658867089
04/2007,53134.95829966666
05/2007,55167.842133196515
06/2007,54325.90406906268
07/2007,52720.30931391883
08/2007,52912.77221449479
09/2007,55404.39732831448
10/2007,56549.52149101975
11/2007,54231.34767931279
12/2007,55206.34942710145
01/2008,51171.54248123828
02/2008,51512.98516527546
03/2008,50656.588275865375
04/2008,54069.775572799415
05/2008,54800.3464157481
06/2008,49895.19038872982
07/2008,48887.15869723038
08/2008,51731.254623370856
09/2008,45802.295876111115
10/2008,41012.72365434777
11/2008,40534.981412898516
12/2008,44108.071847397965
01/2009,41305.606481656105
02/2009,37594.09756368041
03/2009,40312.907056363794
04/2009,43401.3025710425
05/2009,43958.3443899886
06/2009,42578.814173824874
07/2009,46519.04552866325
08/2009,49186.70724150454
09/2009,51745.849644864196
10/2009,49553.95636852623
11/2009,51860.674995863636
12/2009,53797.183604496524
01/2010,51816.118890362835
02/2010,55657.70858170363
03/2010,59472.008811095824
04/2010,59014.88671686213
05/2010,56410.980334261265
06/2010,52837.97282092407
07/2010,54982.307205701196
08/2010,53879.15882421769
09/2010,57202.3326669118
10/2010,58974.52609245161
11/2010,59307.66956995928
12/2010,63641.82170162189
01/2011,63107.7253667977
02/2011,63699.36090746616
03/2011,64236.932983301325
04/2011,64541.19200307239
05/2011,63862.515241394976
06/2011,64774.110774798166
07/2011,62620.33815302785
08/2011,58012.30807106356
09/2011,55038.80484904266
10/2011,59220.02367251672
11/2011,58785.78242965866
12/2011,59401.96462311818
01/2012,61726.844719062174
02/2012,64245.25358256296
03/2012,64353.14886241171
04/2012,62726.48283223019
05/2012,59918.60383748505
06/2012,62507.91616393405
07/2012,63123.28963278416
08/2012,63760.26391106599
09/2012,64397.88258367415
10/2012,64345.170965241785
11/2012,65586.12296283523
12/2012,66477.32524544922
01/2013,71125.84665626143
02/2013,73942.53462257114
03/2013,75678.59629722692
04/2013,76183.17594848604
05/2013,77270.4526367585
06/2013,74929.14988349832
07/2013,78858.02771530456
08/2013,75747.54519795757
09/2013,76459.14139613505
10/2013,80089.1366100678
11/2013,79764.88752062849
12/2013,80200.47395030808
01/2014,77413.15116249824
02/2014,79919.734475722
03/2014,80653.158259369
04/2014,80589.71060246581
05/2014,82836.18891592864
06/2014,82916.46404011629
07/2014,82736.62216464951
08/2014,86094.07625721894
09/2014,85365.42047527833
10/2014,87163.44263387407
11/2014,90203.22091870953
12/2014,89116.7719843048
01/2015,90868.73798174414
02/2015,93529.77117627859
03/2015,96189.3769805103
04/2015,94922.72660726622
05/2015,95963.8038923434
06/2015,90940.7006005337
07/2015,92660.38999756146
08/2015,87246.34817899654
09/2015,85484.11697621114
10/2015,91195.22067516501
11/2015,92470.84794258735
12/2015,91923.01435191218
01/2016,89678.14769286657
02/2016,91911.19082101564
03/2016,95164.8725117974
04/2016,95096.02231945602
05/2016,95126.39920673687
06/2016,103109.04540780144
07/2016,109752.89324738414
08/2016,110516.53068105197
09/2016,112649.62632446211
10/2016,118117.46133511578
11/2016,116022.4575767369
12/2016,120148.6312643474
01/2017,121691.32372790934
02/2017,125845.22215625296
03/2017,126715.24425944845
04/2017,124343.59166291059
05/2017,128142.47710897181
06/2017,127446.2098242557
07/2017,129690.69402523413
08/2017,132859.5085072634
09/2017,130094.94822797955
10/2017,134247.18830398677
11/2017,134671.40228921262
12/2017,136378.73303775783
01/2018,137462.3216447684
02/2018,135135.3461668202
03/2018,129802.01673715001
04/2018,134460.16260739884
05/2018,138677.81759323867
06/2018,139928.15076284675
07/2018,144229.2832995877
08/2018,147341.81458735827
09/2018,147325.6192182947
10/2018,139649.67230348734
11/2018,141556.5657030389
12/2018,131161.67293849052
01/2019,138132.91225467407
02/2019,139943.3984863857
03/2019,144066.2758867129
04/2019,149959.5931048972
05/2019,146063.90091112294
06/2019,154217.98382155146
07/2019,161366.41140921888
08/2019,157415.59080826756
09/2019,159386.34062841636
10/2019,155493.36615279503
11/2019,160145.29582369988
12/2019,161855.2693243653
01/2020,161013.55475298606
02/2020,151101.60541019845
03/2020,136156.4053500277
04/2020,148941.7053071147
05/2020,157441.48845910528
06/2020,163713.07915682753
07/2020,160851.22864398055
08/2020,168598.21889177512
09/2020,169486.91352822562
10/2020,163686.06962685843
11/2020,178871.0083067901
12/2020,182919.33344543507
01/2021,181044.01276789588
02/2021,182729.11191612657
03/2021,189936.00052878255
04/2021,196194.83186069777
05/2021,195477.47446589035
06/2021,202910.55440426862
07/2021,202664.22063211352
08/2021,210603.3360298061
09/2021,206869.91215889188
10/2021,212321.91576462518
11/2021,214134.89495381864
12/2021,220492.1258268487
01/2022,210682.9702777853
02/2022,205492.85848744557
03/2022,214569.98475348242
04/2022,206297.37807332794
05/2022,206328.6422259397
06/2022,196515.09398209676
07/2022,209637.64357701488
08/2022,211017.0051204177
09/2022,200995.99837571158
10/2022,204420.72232167594
11/2022,211469.90835454848
12/2022,202747.2413898195
01/2023,212484.33314031307
02/2023,209740.3634345558
03/2023,211787.4072288049
04/2023,213172.0028326889
05/2023,212874.9908710744
06/2023,220054.48433777245
07/2023,224760.74993726294
08/2023,221565.14161019694
09/2023,219859.1968849373
10/2023,215030.5265167692
11/2023,225664.84161636117
12/2023,235490.67270535088
01/2024,237492.45154107822
