Date,MSCI World
12/1969,10000
01/1970,9445.5
02/1970,9740.499999999998
03/1970,9770.799999999997
04/1970,8857.8
05/1970,8298.999999999998
06/1970,8094.5999999999985
07/1970,8596.499999999998
08/1970,8879.9
09/1970,9166.7
10/1970,9031.399999999998
11/1970,9233.699999999999
12/1970,9691.499999999998
01/1971,10112.46155125114
02/1971,10168.384481760275
03/1971,10610.625542646872
04/1971,10961.148103726373
05/1971,10698.044404018685
06/1971,10806.251033570361
07/1971,10634.823237543931
08/1971,10795.071058900845
09/1971,10541.767230906291
10/1971,10059.543701799485
11/1971,10129.515100469253
12/1971,10896.414153407739
01/1972,11102.369188873758
02/1972,11381.311210969003
03/1972,11475.833619800615
04/1972,11663.290169335682
05/1972,11890.858980248046
06/1972,11810.641859016772
07/1972,12603.362375751622
08/1972,12932.29940413027
09/1972,12783.514952888157
10/1972,13137.865374979117
11/1972,14082.075271103544
12/1972,14380.45119194848
01/1973,14343.776259389717
02/1973,14020.995385629529
03/1973,13783.886102572398
04/1973,13029.786206063533
05/1973,12750.177823441076
06/1973,12603.21403617731
07/1973,13100.45320197044
08/1973,12868.408934846708
09/1973,13555.042798660214
10/1973,13630.363905812608
11/1973,12072.693757855046
12/1973,12333.06291533615
01/1974,12949.532374100716
02/1974,12856.758538836868
03/1974,12179.441168931044
04/1974,11735.845265008791
05/1974,11146.173923851344
06/1974,10901.916157643707
07/1974,10258.855038500164
08/1974,9442.735334242836
09/1974,8669.630908698466
10/1974,9432.21603086155
11/1974,9316.050232238083
12/1974,9144.809822271825
01/1975,10332.404859670654
02/1975,11087.70348109191
03/1975,11066.40198511166
04/1975,11754.705361285693
05/1975,12293.005817711695
06/1975,12667.38587028022
07/1975,12492.304875257494
08/1975,12707.184410916137
09/1975,12354.919842565036
10/1975,13376.77946324387
11/1975,13798.945518453424
12/1975,13990.406013550266
01/1976,15191.718426501027
02/1976,15097.18685223571
03/1976,15930.94502779493
04/1976,16641.412554839404
05/1976,16711.720781016644
06/1976,17654.693877551017
07/1976,17283.76470588235
08/1976,17265.784159748706
09/1976,17971.236683649833
10/1976,18290.236307015937
11/1976,18213.97961052438
12/1976,19113.48903717826
01/1977,18105.115627189905
02/1977,18047.781091036657
03/1977,17860.812856643755
04/1977,18039.23211169284
05/1977,17799.38318300843
06/1977,18463.00971438543
07/1977,18178.47439916405
08/1977,18066.28729091222
09/1977,18255.613562044626
10/1977,17660.07565919485
11/1977,17421.98261634943
12/1977,17415.076027175663
01/1978,16197.922802666251
02/1978,16037.780985770258
03/1978,17063.237995276828
04/1978,18367.00005406282
05/1978,18920.543424454096
06/1978,18909.209666884388
07/1978,19654.567523352154
08/1978,19631.495413789544
09/1978,19665.54733350344
10/1978,18821.2602739726
11/1978,18587.392900856783
12/1978,18948.290619807656
01/1979,19246.31725926295
02/1979,18886.737850513913
03/1979,19352.39964667779
04/1979,18990.151917048464
05/1979,18794.190508573363
06/1979,18848.733368057194
07/1979,17746.0660235419
08/1979,18646.673819742486
09/1979,19412.728762633156
10/1979,18409.179960817237
11/1979,19049.15698763581
12/1979,18973.59930931067
01/1980,19550.549887372457
02/1980,19344.161460836134
03/1980,17922.86686323429
04/1980,19051.289942970943
05/1980,19182.48479582971
06/1980,19807.115030609184
07/1980,20091.5557053767
08/1980,20504.994937563275
09/1980,20846.676661669164
10/1980,21314.860335195528
11/1980,22410.692953510705
12/1980,22368.62611364508
01/1981,21199.38407757293
02/1981,22266.30051000392
03/1981,23697.29826605134
04/1981,24322.38311956971
05/1981,24836.50641639532
06/1981,26229.648393960877
07/1981,27160.33516571489
08/1981,27402.69186397846
09/1981,25418.626694588333
10/1981,25822.002499049275
11/1981,26835.973718791054
12/1981,26250.953606893287
01/1982,26098.027571580056
02/1982,25030.947482403888
03/1982,24905.467235362536
04/1982,26614.266365688487
05/1982,25388.378258948287
06/1982,24983.33997608608
07/1982,24954.108562867343
08/1982,26920.48695652173
09/1982,27245.46728971962
10/1982,29382.950123806153
11/1982,32148.177195024808
12/1982,33919.60396039602
01/1983,35525.20944402132
02/1983,37274.29056037575
03/1983,39689.718120805366
04/1983,41239.97135603149
05/1983,39891.565958529434
06/1983,41780.465116279054
07/1983,41584.600274995086
08/1983,42488.27365899107
09/1983,43457.20005338315
10/1983,42987.88162201884
11/1983,44697.44006501422
12/1983,46613.0283163621
01/1984,47866.837169650455
02/1984,45956.079628216685
03/1984,47648.169265645374
04/1984,48626.43209007739
05/1984,45996.94832301712
06/1984,46804.35729847493
07/1984,47099.999999999985
08/1984,52086.14072494668
09/1984,54229.34012576614
10/1984,56447.42538537223
11/1984,55335.76500968365
12/1984,59006.087176460656
01/1985,65506.73409635347
02/1985,67659.53709633154
03/1985,67988.05651826179
04/1985,61628.633756160605
05/1985,64229.94472482574
06/1985,63701.374141161745
07/1985,60296.71905555151
08/1985,60626.659923415915
09/1985,61954.90397302446
10/1985,62642.110446711216
11/1985,65296.13781606
12/1985,68095.24468747833
01/1986,70070.42965459137
02/1986,76083.20626704901
03/1986,81354.66812048519
