Date,Synthetic FTSE All-World
12/1969,10000.0
01/1970,9445.500000000002
02/1970,9740.499999999998
03/1970,9770.799999999996
04/1970,8857.8
05/1970,8298.999999999998
06/1970,8094.5999999999985
07/1970,8596.5
08/1970,8879.9
09/1970,9166.7
10/1970,9031.399999999998
11/1970,9233.7
12/1970,9691.5
01/1971,10112.46155125114
02/1971,10168.384481760277
03/1971,10610.625542646872
04/1971,10961.148103726373
05/1971,10698.044404018685
06/1971,10806.25103357036
07/1971,10634.823237543931
08/1971,10795.071058900843
09/1971,10541.767230906295
10/1971,10059.543701799485
11/1971,10129.515100469253
12/1971,10896.41415340774
01/1972,11102.369188873758
02/1972,11381.311210969005
03/1972,11475.833619800616
04/1972,11663.29016933568
05/1972,11890.858980248047
06/1972,11810.641859016772
07/1972,12603.362375751623
08/1972,12932.29940413027
09/1972,12783.514952888157
10/1972,13137.865374979116
11/1972,14082.075271103544
12/1972,14380.45119194848
01/1973,14343.776259389719
02/1973,14020.995385629529
03/1973,13783.886102572398
04/1973,13029.786206063534
05/1973,12750.177823441076
06/1973,12603.21403617731
07/1973,13100.453201970438
08/1973,12868.408934846706
09/1973,13555.042798660214
10/1973,13630.363905812608
11/1973,12072.693757855046
12/1973,12333.06291533615
01/1974,12949.532374100716
02/1974,12856.758538836868
03/1974,12179.441168931044
04/1974,11735.845265008791
05/1974,11146.173923851344
06/1974,10901.916157643707
07/1974,10258.855038500164
08/1974,9442.735334242836
09/1974,8669.630908698466
10/1974,9432.21603086155
11/1974,9316.050232238083
12/1974,9144.809822271824
01/1975,10332.404859670654
02/1975,11087.70348109191
03/1975,11066.401985111663
04/1975,11754.705361285693
05/1975,12293.005817711695
06/1975,12667.38587028022
07/1975,12492.304875257494
08/1975,12707.184410916134
09/1975,12354.919842565036
10/1975,13376.77946324387
11/1975,13798.945518453425
12/1975,13990.406013550268
01/1976,15191.718426501026
02/1976,15097.18685223571
03/1976,15930.945027794929
04/1976,16641.412554839404
05/1976,16711.720781016644
06/1976,17654.693877551017
07/1976,17283.76470588235
08/1976,17265.784159748706
09/1976,17971.236683649833
10/1976,18290.23630701594
11/1976,18213.97961052438
12/1976,19113.48903717826
01/1977,18105.115627189905
02/1977,18047.781091036657
03/1977,17860.812856643755
04/1977,18039.23211169284
05/1977,17799.38318300843
06/1977,18463.00971438543
07/1977,18178.47439916405
08/1977,18066.28729091222
09/1977,18255.613562044626
10/1977,17660.07565919485
11/1977,17421.98261634943
12/1977,17415.076027175663
01/1978,16197.92280266625
02/1978,16037.780985770258
03/1978,17063.237995276828
04/1978,18367.000054062817
05/1978,18920.543424454096
06/1978,18909.209666884388
07/1978,19654.567523352154
08/1978,19631.495413789544
09/1978,19665.54733350344
10/1978,18821.2602739726
11/1978,18587.39290085678
12/1978,18948.290619807656
01/1979,19246.31725926295
02/1979,18886.73785051392
03/1979,19352.39964667779
04/1979,18990.151917048464
05/1979,18794.190508573363
06/1979,18848.733368057197
07/1979,17746.0660235419
08/1979,18646.67381974249
09/1979,19412.728762633156
10/1979,18409.17996081724
11/1979,19049.156987635815
12/1979,18973.59930931067
01/1980,19550.549887372454
02/1980,19344.16146083613
03/1980,17922.86686323429
04/1980,19051.289942970943
05/1980,19182.484795829707
06/1980,19807.115030609188
07/1980,20091.5557053767
08/1980,20504.99493756327
09/1980,20846.676661669164
10/1980,21314.860335195528
11/1980,22410.6929535107
12/1980,22368.62611364508
01/1981,21199.384077572926
02/1981,22266.30051000392
03/1981,23697.29826605134
04/1981,24322.38311956971
05/1981,24836.50641639532
06/1981,26229.648393960884
07/1981,27160.335165714885
08/1981,27402.69186397846
09/1981,25418.626694588333
10/1981,25822.00249904927
11/1981,26835.97371879105
12/1981,26250.953606893287
01/1982,26098.027571580056
02/1982,25030.94748240389
03/1982,24905.467235362536
04/1982,26614.266365688487
05/1982,25388.37825894829
06/1982,24983.339976086085
07/1982,24954.108562867343
08/1982,26920.48695652173
09/1982,27245.46728971962
10/1982,29382.950123806157
11/1982,32148.177195024808
12/1982,33919.60396039602
01/1983,35525.20944402132
02/1983,37274.29056037575
03/1983,39689.718120805366
04/1983,41239.97135603149
05/1983,39891.56595852944
06/1983,41780.465116279054
07/1983,41584.600274995086
08/1983,42488.27365899107
09/1983,43457.200053383145
10/1983,42987.88162201884
11/1983,44697.44006501422
12/1983,46613.0283163621
01/1984,47866.837169650455
02/1984,45956.079628216685
03/1984,47648.169265645374
04/1984,48626.4320900774
05/1984,45996.94832301712
06/1984,46804.357298474926
07/1984,47100.0
08/1984,52086.14072494668
09/1984,54229.34012576614
10/1984,56447.42538537223
11/1984,55335.76500968366
12/1984,59006.08717646066
01/1985,65506.73409635347
02/1985,67659.53709633154
03/1985,67988.0565182618
04/1985,61628.633756160605
05/1985,64229.94472482575
06/1985,63701.37414116176
07/1985,60296.71905555152
08/1985,60626.65992341592
09/1985,61954.903973024455
10/1985,62642.110446711216
11/1985,65296.13781606001
12/1985,68095.24468747833
01/1986,70070.42965459138
02/1986,76083.20626704901
03/1986,81354.66812048518
04/1986,81837.03703703702
05/1986,80368.36499901385
06/1986,84270.30825323166
07/1986,85004.84373963237
08/1986,93716.27750487854
09/1986,90966.49884338005
10/1986,92099.83174425122
11/1986,96146.98693636748
12/1986,96982.64434099908
01/1987,103591.8692706257
02/1987,105399.8952879581
03/1987,107382.47817622306
04/1987,110937.14215656226
05/1987,108714.12456498256
06/1987,111147.34774066797
07/1987,114737.30267246733
08/1987,122207.05176294071
09/1987,116767.45713243337
10/1987,95899.78339350178
11/1987,87564.5826292666
12/1987,88664.56692913383
01/1988,92318.84803198397
02/1988,100052.91299556362
03/1988,98954.69968968898
04/1988,97826.84434373333
05/1988,96363.53375512167
06/1988,101310.7466042323
07/1988,107549.86280687348
08/1988,102180.63302281164
09/1988,107386.66350213773
10/1988,110831.24468737058
11/1988,110154.2450322366
12/1988,110116.72084653299
01/1989,117456.87243795452
02/1989,118114.82717280704
03/1989,120206.97160733042
04/1989,124145.43331326434
05/1989,126428.48706052611
06/1989,130911.13366748227
07/1989,139096.14677747717
08/1989,138560.92020417625
09/1989,144863.75981368116
10/1989,138799.74510873124
11/1989,145619.26939641355
12/1989,148153.99618665825
01/1990,136668.52227906973
02/1990,127465.52385354634
03/1990,124868.79024930742
04/1990,122345.2226533105
05/1990,131889.98929963037
06/1990,128484.46252096121
07/1990,122653.4185806166
08/1990,105775.57688570971
09/1990,95827.45393976802
10/1990,101085.24049342104
11/1990,98449.71962284898
12/1990,102787.37322857586
01/1991,105889.34187615007
02/1991,114107.49645089352
03/1991,119613.7133721313
04/1991,125564.35550048575
05/1991,130499.60931709011
06/1991,128046.90449318054
07/1991,134016.8306473687
08/1991,131141.90404845314
09/1991,131179.29671728928
10/1991,133725.79446810973
11/1991,123908.43932569114
12/1991,129642.60228021015
01/1992,128989.28254726362
02/1992,129270.15206749909
03/1992,127385.10731360939
04/1992,126682.84619651595
05/1992,127692.8239871787
06/1992,120112.84335033146
07/1992,116563.16063284138
08/1992,117600.71124174126
09/1992,122717.4674300568
10/1992,133737.99069078584
11/1992,147193.28194079114
12/1992,146267.23805338488
01/1993,148556.6900703425
02/1993,161873.78437513026
03/1993,168576.0688163097
04/1993,166763.26550398127
05/1993,170349.9678666408
06/1993,173677.20812836487
07/1993,178784.3411963891
08/1993,187776.90223521518
09/1993,180584.08640083938
10/1993,188716.7186143912
11/1993,181504.14282009716
12/1993,189973.8890042244
01/1994,202436.744195671
02/1994,201277.4880519199
03/1994,190597.4295371003
04/1994,197048.65896296295
05/1994,195324.5962185879
06/1994,191574.06614074166
07/1994,193218.94140143527
08/1994,200685.29918921014
09/1994,192982.1315154843
10/1994,192962.65575298798
11/1994,186580.37825723633
12/1994,190895.01032604088
01/1995,185122.1774144544
02/1995,187408.81421679375
03/1995,192538.9069966253
04/1995,198660.4422880607
05/1995,203371.59170467424
06/1995,202472.66777426627
07/1995,212215.73466800392
08/1995,211331.80649272402
09/1995,218232.3591594611
10/1995,212014.4849777552
11/1995,220839.15217305595
12/1995,230737.89801441084
01/1996,237672.21984301403
02/1996,237543.06442499993
03/1996,242605.60188802297
04/1996,250349.1752992084
05/1996,250740.33274340013
06/1996,247797.9868894654
07/1996,236791.89903824846
08/1996,240191.72075204845
09/1996,247559.93371795028
10/1996,244319.40387165095
11/1996,245613.52745858135
12/1996,241823.2856224532
01/1997,246680.7714537232
02/1997,255104.5836614173
03/1997,252486.59883101378
04/1997,257445.2127652366
05/1997,272321.5908677857
06/1997,284046.4754389932
07/1997,292532.96973763016
08/1997,283187.19918578106
09/1997,298699.64438293874
10/1997,275460.9655260257
11/1997,270418.2559763159
12/1997,278788.7513666324
01/1998,289230.5434656879
02/1998,307924.4497708433
03/1998,316986.7307154461
04/1998,317967.89330144104
05/1998,318428.0001836161
06/1998,321768.63184100814
07/1998,323185.7700514693
08/1998,279522.2934103536
09/1998,276931.7032881173
10/1998,300065.09765439085
11/1998,324662.6511222683
