Date,Synthetic FTSE All-World
12/1969,10000.0
12/1970,9691.5
12/1971,10896.41415340774
12/1972,14380.45119194848
12/1973,12333.06291533615
12/1974,9144.809822271824
12/1975,13990.406013550268
12/1976,19113.48903717826
12/1977,17415.076027175663
12/1978,18948.290619807656
12/1979,18973.59930931067
12/1980,22368.62611364508
12/1981,26250.953606893287
12/1982,33919.60396039602
12/1983,46613.0283163621
12/1984,59006.08717646066
12/1985,68095.24468747833
12/1986,96982.64434099908
12/1987,88664.56692913383
12/1988,110116.72084653299
12/1989,148153.99618665825
12/1990,102787.37322857586
12/1991,129642.60228021015
12/1992,146267.23805338488
12/1993,189973.8890042244
12/1994,190895.01032604088
12/1995,230737.89801441084
12/1996,241823.2856224532
12/1997,278788.7513666324
12/1998,337768.0043744312
12/1999,438238.2318741164
12/2000,408771.8382751027
12/2001,353843.72823183413
12/2002,257556.58416191887
12/2003,311311.17522553453
12/2004,334476.46595126204
12/2005,418100.98032345704
12/2006,447105.1822361565
12/2007,490759.0830105014
12/2008,390558.7398537986
12/2009,476465.41756982595
12/2010,560920.6922871723
12/2011,518707.99205602723
12/2012,578937.0433965868
12/2013,694197.2452435032
12/2014,767847.902969108
12/2015,789391.1752189012
12/2016,1027120.2084525744
12/2017,1159791.7795262104
12/2018,1107568.421849304
12/2019,1358465.0312503255
12/2020,1524610.370698597
12/2021,1827891.8087404326
12/2022,1678511.304408692
12/2023,1936795.7566492027
12/2024,2303577.538372142
12/2025,2628158.1442080126
