Year,Return (%)
1970,-3.085
1971,12.4327
1972,31.9742
1973,-14.2373
1974,-25.8513
1975,52.9874
1976,36.6185
1977,-8.8859
1978,8.804
1979,0.1336
1980,17.8934
1981,17.3561
1982,29.2128
1983,37.4221
1984,26.5871
1985,15.4038
1986,42.4221
1987,-8.5769
1988,24.1947
1989,34.5427
1990,-30.6213
1991,26.127
1992,12.8234
1993,29.8814
1994,0.4849
1995,20.8716
1996,4.8043
1997,15.2861
1998,21.1555
1999,29.7453
2000,-6.7238
2001,-13.4374
2002,-27.2118
2003,20.871
2004,7.4412
2005,25.0016
2006,6.9371
2007,9.7637
2008,-20.4174
2009,21.9958
2010,17.7254
2011,-7.5256
2012,11.6114
2013,19.9089
2014,10.6095
2015,2.8057
2016,30.1155
2017,12.9168
2018,-4.5028
2019,22.6529
2020,12.2304
2021,19.8924
2022,-8.1723
2023,15.3877
2024,18.9376
2025,14.0903
