Date,Return (%)
01/1970,-5.545
02/1970,3.1232
03/1970,0.3111
04/1970,-9.3442
05/1970,-6.3086
06/1970,-2.4629
07/1970,6.2004
08/1970,3.2967
09/1970,3.2298
10/1970,-1.476
11/1970,2.24
12/1970,4.9579
01/1971,4.3436
02/1971,0.553
03/1971,4.3492
04/1971,3.3035
05/1971,-2.4003
06/1971,1.0115
07/1971,-1.5864
08/1971,1.5068
09/1971,-2.3465
10/1971,-4.5744
11/1971,0.6956
12/1971,7.5709
01/1972,1.8901
02/1972,2.5125
03/1972,0.8305
04/1972,1.6335
05/1972,1.9512
06/1972,-0.6746
07/1972,6.7119
08/1972,2.6099
09/1972,-1.1505
10/1972,2.7719
11/1972,7.1869
12/1972,2.1188
01/1973,-0.255
02/1973,-2.2503
03/1973,-1.6911
04/1973,-5.4709
05/1973,-2.1459
06/1973,-1.1526
07/1973,3.9453
08/1973,-1.7713
09/1973,5.3358
10/1973,0.5557
11/1973,-11.4279
12/1973,2.1567
01/1974,4.9985
02/1974,-0.7164
03/1974,-5.2682
04/1974,-3.6422
05/1974,-5.0245
06/1974,-2.1914
07/1974,-5.8986
08/1974,-7.9553
09/1974,-8.1873
10/1974,8.7961
11/1974,-1.2316
12/1974,-1.8381
01/1975,12.9865
02/1975,7.31
03/1975,-0.1921
04/1975,6.2198
05/1975,4.5794
06/1975,3.0455
07/1975,-1.3821
08/1975,1.7201
09/1975,-2.7722
10/1975,8.2709
11/1975,3.156
12/1975,1.3875
01/1976,8.5867
02/1976,-0.6223
03/1976,5.5226
04/1976,4.4597
05/1976,0.4225
06/1976,5.6426
07/1976,-2.101
08/1976,-0.104
09/1976,4.0858
10/1976,1.7751
11/1976,-0.4169
12/1976,4.9386
01/1977,-5.2757
02/1977,-0.3167
03/1977,-1.036
04/1977,0.9989
05/1977,-1.3296
06/1977,3.7284
07/1977,-1.5411
08/1977,-0.6171
09/1977,1.048
10/1977,-3.2622
11/1977,-1.3482
12/1977,-0.0396
01/1978,-6.9891
02/1978,-0.9887
03/1978,6.394
04/1978,7.6408
05/1978,3.0138
06/1978,-0.0599
07/1978,3.9418
08/1978,-0.1174
09/1978,0.1735
10/1978,-4.2932
11/1978,-1.2426
12/1978,1.9416
01/1979,1.5728
02/1979,-1.8683
03/1979,2.4655
04/1979,-1.8718
05/1979,-1.0319
06/1979,0.2902
07/1979,-5.8501
08/1979,5.075
09/1979,4.1083
10/1979,-5.1695
11/1979,3.4764
